LivingArea,BedroomCount,SwimmingPool,Density,Median_revenue,ConstructionYear,PEB_numerical,StateOfBuilding_numerical,BathroomCount,Kitchen_numerical,Terrace,Garden,Province_numerical
29.0,1,0.0,847.881957661212,27504.77,1969.0,,4.0,1.0,,1.0,0.0,3803.0
92.0,2,0.0,782.477551159128,27722.81,1972.0,6.0,6.0,0.0,,1.0,0.0,2482.0
50.0,1,0.0,16551.0382636211,20568.86,1994.0,3.0,6.0,1.0,7.0,1.0,0.0,3370.0
,3,0.0,2178.28073376907,25528.8,2023.0,7.0,,2.0,,0.0,0.0,3159.0
101.0,2,0.0,777.903034689747,26620.96,,,,,,0.0,0.0,2845.0
73.0,2,0.0,249.941126876809,25476.65,1961.0,5.0,4.0,1.0,5.0,0.0,0.0,3803.0
77.0,1,0.0,777.903034689747,26620.96,,,,,,0.0,0.0,2845.0
65.0,2,0.0,249.941126876809,25476.65,1966.0,5.0,,1.0,,0.0,0.0,3803.0
29.0,0,0.0,643.938281648257,24852.93,1974.0,5.0,4.0,1.0,1.0,1.0,0.0,2423.0
81.0,2,0.0,2611.02655983342,28715.14,,5.0,5.0,1.0,7.0,0.0,1.0,2732.0
75.0,2,0.0,477.012824638888,26855.34,1968.0,5.0,1.0,1.0,,1.0,0.0,3139.0
93.0,2,0.0,2637.62773823713,22846.97,,5.0,5.0,1.0,3.0,1.0,0.0,2732.0
48.0,1,0.0,416.44626635774,25150.48,1965.0,6.0,4.0,1.0,,0.0,0.0,3803.0
93.0,2,0.0,2637.62773823713,22846.97,,5.0,5.0,1.0,3.0,1.0,0.0,2732.0
99.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
83.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
82.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
80.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
99.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
83.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
82.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
82.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
80.0,2,0.0,700.718368243542,27115.305,2024.0,,,1.0,7.0,1.0,0.0,3159.0
133.0,2,0.0,319.073974233711,24424.76,,5.0,6.0,1.0,7.0,1.0,0.0,1840.0
139.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
101.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
124.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
92.0,1,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
117.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
96.0,1,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
109.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
103.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
112.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
68.0,1,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
95.0,2,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
92.0,1,0.0,407.000946211555,27318.17,2023.0,,4.0,1.0,7.0,1.0,0.0,2482.0
163.0,3,0.0,1091.42379522888,20711.44,,6.0,4.0,1.0,3.0,0.0,0.0,2214.0
75.0,2,0.0,10480.504120945,21684.02,2010.0,5.0,4.0,1.0,,1.0,0.0,3370.0
101.0,2,0.0,6981.41118678129,19516.6,1932.0,1.0,4.0,1.0,3.0,0.0,0.0,3370.0
80.0,2,0.0,6981.41118678129,19516.6,1932.0,2.0,4.0,1.0,3.0,1.0,0.0,3370.0
89.0,1,0.0,6981.41118678129,19516.6,1932.0,1.0,4.0,1.0,3.0,1.0,0.0,3370.0
52.0,1,0.0,10480.504120945,21684.02,,1.0,6.0,1.0,5.0,1.0,0.0,3370.0
,2,0.0,363.441048688961,26526.71,2023.0,,6.0,1.0,3.0,1.0,0.0,2482.0
170.0,3,0.0,416.44626635774,25150.48,1990.0,6.0,4.0,2.0,3.0,0.0,0.0,3803.0
