,postcode
0,5571
1,5080
2,5543
3,3581
4,3583
5,3590
6,3640
7,3717
8,3891
9,3980
10,8553
11,6870
12,7504
13,7822
14,1401
15,1460
16,2640
17,2382
18,2310
19,2547
20,2845
21,2060
22,2627
23,2381
24,2150
25,2387
26,3472
27,3272
28,3212
29,1640
30,3450
31,1540
32,9473
33,9112
34,9031
35,9308
36,4730
37,4632
38,4351
39,4480
40,4910
41,7510
42,7020
43,6534
44,7860
45,7330
46,7864
47,7100
48,6531
49,3722
50,8550
51,8691
52,8700
53,8760
54,6840
55,6983
56,6987
57,3120
58,1541
59,3270
60,5351
61,5540
62,5550
63,3582
64,3850
65,8480
66,8570
67,8830
68,8978
69,3300
70,3401
71,3210
72,1501
73,1950
74,9771
75,9190
76,9051
77,9700
78,9770
79,4181
80,4342
81,4161
82,4650
83,4257
84,6210
85,7802
86,6200
87,7000
88,7021
89,1033
90,1006
91,1043
92,1060
93,1300
94,2170
95,2630
96,7711
97,6210
98,7190
99,1120
100,1150
101,1320
102,1331
103,1348
104,1404
105,2520
106,2490
107,2530
108,2270
109,5621
110,5640
111,5537
112,5020
113,5377
114,5081
115,3501
116,3620
117,3950
118,8850
119,6821
120,6834
121,6852
122,6853
123,6997
124,1654
125,3118
126,1653
127,9270
128,9290
129,9681
130,4761
131,4140
132,4877
133,4670
134,4750
135,4780
136,4051
137,4652
138,7740
139,6221
140,7942
141,7332
142,7010
143,6500
144,6250
145,7624
146,7611
147,7130
148,6560
149,5560
150,5363
151,5600
152,5641
153,5501
154,5651
155,5030
156,5150
157,3660
158,8610
159,8755
160,6630
161,6660
162,6781
163,6813
164,6920
165,1820
166,1502
167,3370
168,1852
169,1700
170,9860
171,9790
172,9570
173,4458
174,4031
175,4650
176,4560
177,4770
178,6110
179,7034
180,6532
181,6530
182,7604
183,7500
184,7333
185,7803
186,6594
187,7910
188,6120
189,7506
190,7783
191,1200
192,1049
193,1370
194,2590
195,2431
196,2801
197,6769
198,6044
199,6030
200,1780
201,9402
202,9920
203,9185
204,9030
205,9140
206,4141
207,4570
208,6464
209,7861
210,7131
211,7134
212,6181
213,7382
214,7301
215,6230
216,1130
217,1410
218,1474
219,2350
220,2870
221,2360
222,5364
223,5001
224,5000
225,3530
226,3580
227,3742
228,3791
229,3798
230,8460
231,8582
232,8640
233,8690
234,8791
235,8880
236,6600
237,6688
238,6692
239,6980
240,1860
241,1650
242,1742
243,5523
244,3800
245,3941
246,8554
247,8904
248,8954
249,8956
250,8970
251,6900
252,3200
253,1674
254,3054
255,3010
256,3053
257,1105
258,1050
259,2320
260,2321
